Page,Section,Translation Key,English Text,Korean,Status,Priority,File Path,Line Number
About,Hero,about.hero.title,"1001 Stories,","1001 스토리,"TODO,HIGH,/app/about/page.tsx,36
About,Hero,about.hero.subtitle,Empowering Communities through Storytelling,스토리텔링을 통한 커뮤니티 역량 강화,TODO,HIGH,/app/about/page.tsx,46
About,Hero,about.hero.description,A global citizenship platform for young learners, brining stories from under-resourced communities to the world,전 세계 자원이 부족한 커뮤니티의 이야기를 전하는 글로벌 시민 플랫폼,TODO,HIGH,/app/about/page.tsx,57
About,Who We Are,about.whoWeAre.title,Who We Are,우리는 누구인가,TODO,HIGH,/app/about/page.tsx,75
About,Who We Are,about.whoWeAre.subtitle,Seeds of Empowerment and the 1001 Stories Project,시즈 오브 임파워먼트와 1001 스토리 프로젝트,TODO,HIGH,/app/about/page.tsx,85
About,Who We Are,about.whoWeAre.soe.title,Seeds of Empowerment,시즈 오브 임파워먼트,TODO,HIGH,/app/about/page.tsx,112
About,Who We Are,about.whoWeAre.soe.description,"SOE is a non-profit organization dedicated to empowering underserved communities through education, storytelling, and technology. By supporting grassroots projects round the world, they help amplify local voices and foster sustainable development.","SOE는 교육, 스토리텔링, 기술을 통해 소외된 커뮤니티에 힘을 실어주는 비영리 단체입니다.",TODO,HIGH,/app/about/page.tsx,123
About,Who We Are,about.whoWeAre.project.title,1001 Stories Project,1001 스토리 프로젝트,TODO,HIGH,/app/about/page.tsx,137
About,Who We Are,about.whoWeAre.project.description,"Our mobile storytelling program, 1001 Stories, brings meaningful learning to some of the hardest to reach populations around the world. We aim to facilitate the creation, development, and gathering of 1001 empowering stories from every participating local community.",전 세계에서 가장 도달하기 어려운 인구에게 의미 있는 학습을 제공합니다.,TODO,HIGH,/app/about/page.tsx,148
About,Benefits,about.benefits.title,Benefits,혜택,TODO,HIGH,/app/about/page.tsx,168
About,Benefits,about.benefits.subtitle,Why Join 1001 Stories?,왜 1001 스토리에 참여해야 하나요?,TODO,HIGH,/app/about/page.tsx,178
About,Benefits,about.benefits.benefit1.title,Promote Global Citizenship and Literacy,글로벌 시민의식과 문해력 향상,TODO,HIGH,/app/about/page.tsx,204
About,Benefits,about.benefits.benefit1.description,"Through storytelling and cultural exchange, 1001 Stories fosters global citizenship education, helping children around the world develop reading and writing skills.",스토리텔링과 문화 교류를 통해 글로벌 시민 교육을 촉진합니다.,TODO,HIGH,/app/about/page.tsx,215
About,Benefits,about.benefits.benefit2.title,Empower Young Learners Everywhere,모든 청소년 학습자에게 힘을 실어주기,TODO,HIGH,/app/about/page.tsx,241
About,Benefits,about.benefits.benefit2.description,"We raise awareness about diverse experiences and support children's dreams by offering scholarships and creating accessible educational opportunities.",다양한 경험에 대한 인식을 높이고 장학금을 제공합니다.,TODO,HIGH,/app/about/page.tsx,252
About,Benefits,about.benefits.benefit3.title,Integrate AI and Personalized Learning,AI와 개인화된 학습 통합,TODO,HIGH,/app/about/page.tsx,278
About,Benefits,about.benefits.benefit3.description,"By combining storybooks with AI-powered tools, 1001 Stories offers personalized learning experiences tailored to each student's journey.",AI 기반 도구와 스토리북을 결합하여 개인화된 학습 경험을 제공합니다.,TODO,HIGH,/app/about/page.tsx,289
About,Features,about.features.title,Our Features,우리의 기능,TODO,HIGH,/app/about/page.tsx,309
About,Features,about.features.subtitle,More exciting features are on the way. Stay tuned!,더 흥미로운 기능이 곧 출시됩니다. 기대해 주세요!,TODO,HIGH,/app/about/page.tsx,319
About,Features,about.features.library.title,📖 Browse the 1001 Stories Library,📖 1001 스토리 라이브러리 탐색,TODO,MEDIUM,/app/about/page.tsx,344
About,Features,about.features.library.description,"Discover stories written by young authors around the world. Explore different cultures, perspectives, and dreams through storytelling.",전 세계 젊은 작가들이 쓴 이야기를 발견하세요.,TODO,MEDIUM,/app/about/page.tsx,355
About,Features,about.features.library.cta,Learn More,더 알아보기,TODO,MEDIUM,/app/about/page.tsx,367
About,Features,about.features.write.title,📝 Write Your Story,📝 당신의 이야기를 써보세요,TODO,MEDIUM,/app/about/page.tsx,391
About,Features,about.features.write.description,"Share your voice with the world! Write and submit your own story, inspire others, and become part of our global library.",당신의 목소리를 세상과 공유하세요!,TODO,MEDIUM,/app/about/page.tsx,402
About,Features,about.features.write.cta,Learn More,더 알아보기,TODO,MEDIUM,/app/about/page.tsx,414
About,Features,about.features.bookclub.title,📚 Join a Book Club (Coming Soon),📚 북클럽 참여하기 (곧 출시),TODO,MEDIUM,/app/about/page.tsx,438
About,Features,about.features.bookclub.description,"Find and join book clubs that match your interests. Read together, discuss ideas, and connect with young storytellers across the globe.",관심사에 맞는 북클럽을 찾아 참여하세요.,TODO,MEDIUM,/app/about/page.tsx,449
About,Features,about.features.bookclub.cta,Learn More,더 알아보기,TODO,MEDIUM,/app/about/page.tsx,461
About,Features,about.features.goals.title,🎯 Set and Track Your Goals (Coming Soon),🎯 목표 설정 및 추적 (곧 출시),TODO,MEDIUM,/app/about/page.tsx,485
About,Features,about.features.goals.description,"Start with a quick assessment to personalize your journey. Set learning goals based on your interests and track your progress as you grow.",빠른 평가로 여정을 개인화하세요.,TODO,MEDIUM,/app/about/page.tsx,496
About,Features,about.features.goals.cta,Learn More,더 알아보기,TODO,MEDIUM,/app/about/page.tsx,508
About,Testimonials,about.testimonials.title,Our Testimonials,추천사,TODO,HIGH,/app/about/page.tsx,526
About,Testimonials,about.testimonials.sofia.quote,"Before 1001 Stories, I was too shy to share my writing. Now, my story is published for everyone to read! I feel like my voice matters, and I want to write even more",1001 스토리 이전에는 글쓰기를 공유하기에 너무 수줍었습니다.,TODO,MEDIUM,/app/about/page.tsx,542
About,Testimonials,about.testimonials.sofia.name,"Sofia, Student (10)","소피아, 학생 (10세)",TODO,MEDIUM,/app/about/page.tsx,563
About,Testimonials,about.testimonials.ayaan.quote,"I love reading stories from kids in other countries. It feels like I'm making new friends from around the world. 1001 Stories makes learning so much fun!",다른 나라 아이들의 이야기를 읽는 것을 좋아합니다.,TODO,MEDIUM,/app/about/page.tsx,580
About,Testimonials,about.testimonials.ayaan.name,"Ayaan, Student (11)","아얀, 학생 (11세)",TODO,MEDIUM,/app/about/page.tsx,601
About,Testimonials,about.testimonials.emilyMom.quote,"1001 Stories gave my daughter the confidence to express herself creatively. Watching her set goals, complete her first story, and proudly share it was an unforgettable moment for our family",1001 스토리는 제 딸에게 창의적으로 자신을 표현할 자신감을 주었습니다.,TODO,MEDIUM,/app/about/page.tsx,618
About,Testimonials,about.testimonials.emilyMom.name,Emily's Mom,에밀리의 엄마,TODO,MEDIUM,/app/about/page.tsx,639
About,Testimonials,about.testimonials.davidDad.quote,"As a parent, I wanted something educational but also inspiring. 1001 Stories struck the perfect balance—helping my son develop literacy skills while encouraging him to think globally and dream big.",부모로서 교육적이면서도 영감을 주는 것을 원했습니다.,TODO,MEDIUM,/app/about/page.tsx,656
